id,listing_id,listing_status,listing_user_id,superhost,price,currency,city,lat,lng,room_type,review_count,bedrooms,bathrooms,min_nights,max_nights,guests,created_at,updated_at,updated_by,amenities,description,weekly_price_factor,monthly_price_factor,cleaning_fee_native,cancellation_policy,info_last_updated,price_for_extra_person_native,listing_title,star_rating,missing_v2_pricing,pricing_line_items,h3_index,is_los,is_ghost,country,state,neighborhood,zipcode,license,guest_favorite,picture_url,luxe,base_guest,host_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397371,35873806,NULL,269825819,TRUE,50,NULL,Scottsville,37.94958,-78.4652,Entire rental unit,45,2,1,1,365,3,2019-12-10 19:06:30,2024-12-30 13:10:56,pricelabs-scraping -- 73867,"[Garden view""",Bathtub,Hair dryer,Cleaning products,Shampoo,Hot water,Free washer – In unit,Dryer,Essentials,Hangers,Iron,Clothing storage: closet and dresser,TV,Air conditioning,Ceiling fan,Portable fans,Heating,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Wine glasses,Baking sheet,Barbecue utensils,Dining table,Private entrance,Private patio or balcony,Private backyard – Not fully fenced,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Single level home,Pets allowed,Smoking allowed,"Host greets you]""","Nancy's Beach House is a charming getaway with private entrance, outside deck and patio amongst beautiful mature gardens. We are located minutes from Monticello, James Monroe's Highland and several wineries. Enjoy the fully equipped kitchen and all the comforts of home. It was originally decorated as a beach house because Nancy felt a beach vibe upon seeing the openness and ambiance of the space. In keeping with the beach house vacation feel, there are games, puzzles and music for you to enjoy. The space The house is a duplex and the host lives in the other apartment. There is an extra thick wall between the apartments so noise is rarely a problem. This is an old house in the country and the gardens have a wide variety of trees, shrubs and perennials. If you have asthma, allergies or immune deficiencies then this may not be the place for you. Guest access Separate apartment with a private entrance, covered porch and an adjacent deck with picnic table for guests' exclusive use. Also, there is a large front stoop with a bench. Other things to note Due to regulations by my local government, I am only allowed to rent the space for 30 days OR MORE at a time. Thus the price set at $50 a day works out to $1500 for 30 days. I would be glad to answer any questions. BEFORE YOU BOOK-Please review airbnb's cancellation policy for long term rentals.",,,100,Strict,NULL,10,Nancy's Beach House & Gardens,4.78,,"{error"": ""Missing price line items""","check_in: ""2025-02-01""","check_out: ""2025-02-08""","CLEANING_FEE: {""total"": 0","currency: ""USD""}}""",882a8c0289fffff,0,0,United States,Virginia,,24590,,0,https://a0.muscache.com/pictures/miso/Hosting-35873806/original/faecaa9e-4e5c-4fd0-b5d8-345a6fce79fc.jpeg,0,NULL,John,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397538,39962641,NULL,150543717,FALSE,200,NULL,Charlottesville,37.99846,-78.48698,Entire guest suite,66,1,1,1,365,2,2019-12-10 19:06:35,2024-12-30 13:10:48,pricelabs-scraping -- 89627,"[Bathtub""",Hair dryer,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage: closet,"32 inch HDTV with Roku, standard cable",Air conditioning,Ceiling fan,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Coffee maker: Keurig coffee machine,Wine glasses,Toaster,Baking sheet,Coffee,Private entrance,Outdoor furniture,Free parking on premises,Self check-in,"Keypad]""","Spacious guest suite with a private entrance. Located on the cul de sac in a quiet neighborhood. Mountain views and the wooded property makes it feel like you're in the country yet your just minutes from all that Charlottesville has to offer (University of Virginia, shopping, dining, hiking, wineries, breweries, sightseeing). The space Guest suite provides an open living space with a full kitchen, a large bedroom, and a full bathroom. The path to the private entrance is a gradual slope, but you shouldn't have any trouble rolling luggage up or down the path.",0.9,,20,Moderate,NULL,0,Spacious guest suite - Scenic views,4.97,,"{error"": ""Missing price line items: Listing has no availability""}""",882a8c0201fffff,0,0,United States,Virginia,,22902,,0,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Mzk5NjI2NDE%3D/original/ca05abbe-2a86-465c-82fa-10fdf1836fbe.jpeg,0,NULL,Heather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397705,17027835,NULL,50937853,FALSE,388,NULL,Charlottesville,37.97931,-78.42316,Entire home,191,3,2.5,1,365,8,2019-12-10 19:06:40,2024-12-26 11:08:52,pricelabs-scraping -- 22973,"[Mountain view""",Hair dryer,Shampoo,Hot water,Free washer – In unit,Free dryer – In unit,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV with standard cable,Sound system,Game console,Central air conditioning,Ceiling fan,Central heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Coffee maker,Baking sheet,Private entrance,Private patio or balcony,Private backyard – Not fully fenced,Outdoor furniture,Outdoor dining area,Free parking on premises,Self check-in,"Lockbox]""","Farmhouse on 14 acres offers closest proximity to Monticello (4 minutes away). Jefferson Vineyard (1 min), Ash Lawn (3 min), Carter's Mountain & Michie Tavern (5 min), Downtown Open-Air Mall (14 min). Relax with a cold drink on the front porch or enjoy views of the mountains and pond from the back deck. There is plenty of space to breathe here. Full kitchen & laundry. Feel free to snack on whatever we have. Great views & country feeling but close to everything. Relax & make yourself at home! The space The master bedroom (upstairs) has a King mattress with pillow top. Also, the sitting room off the master bedroom has a queen bed. In addition there are two good size bedrooms with queen beds upstairs. There are 2 full bathrooms upstairs, and a half bath on the main level. You are welcome to the bacon & eggs in the fridge. Coffee, tea, sodas, and water are also complimentary. Actually, what the heck, feel free to snack on anything in the fridge or pantry. They are usually fairly well stocked. There is a second fridge in the garage with additional cold drinks. This is a modest farm house (not fancy in any way) but we think you will find it comfortable, relaxing, and convenient. We have a 56 HDTV with stereo sound in the living room and 32 inch HDTV's in all bedrooms. The house has Xfinity Fiber Optic Extreme Pro internet (800 mbps). Most major network and cable TV stations can be accessed through YouTube TV. There is also ROKU and / or Amazon Fire TV with Alexa, Netflix, Spotify, etc. The garage is also available should you want to use it. A remote will be provided. Guest access Upstairs: Guests have private access to the master bedroom suite which includes a walk-in closet & full bath. Also the sitting room off of the master bedroom is fully furnished and has an additional queen bed. There are two additional bedrooms (queen) along with a full bath in the hall. Main Level: You'll have access to the kitchen, living room, dining room, half bath, laundry room, back deck, and front porch. The large two car garage is also available for use. Please don't go in the basement as we only use that for storage. There are also a couple other rooms in the house closed off and used for storage. Other things to note Important...Please be sure to include all guests (including children) when booking.",0.75,0.6,90,Firm,NULL,35,Thomas Jefferson Pkwy - Gateway to Monticello,4.99,,"{check_in"": ""2025-02-01""","check_out: ""2025-02-06""","CLEANING_FEE: {""total"": 90","currency: ""USD""}","ACCOMMODATION: {""total"": 1495","currency: ""USD""}","AIRBNB_SERVICE_FEE: {""total"": 224","currency: ""USD""}","TOTAL_BEFORE_TAXES: {""total"": 1809","currency: ""USD""}}""",882a8c1507fffff,2,0,United States,Virginia,,22902,,1,https://a0.muscache.com/pictures/1a4ab23d-6f86-4d0e-be0f-5585953b3ffc.jpg,0,NULL,Jeff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397764,15581613,NULL,41399220,TRUE,967,NULL,Charlottesville,37.99289,-78.43639,Entire home,45,5,5.5,1,365,10,2019-12-10 19:06:42,2024-12-26 10:13:36,pricelabs-scraping-01 -- 75208,"[Vineyard view""",Bathtub,Hair dryer,Shampoo,Essentials,Hangers,Bed linens,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Oven,Coffee maker,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Private pool,Self check-in,"Smart lock]""","Historic Estate w/ land granted by Jefferson & where the first wine grapes were planted in 1773. Today, wine culture flows strong as the home of Jefferson Vineyards. The space This property has been selected for inclusion in The 100 Collection™, a global designation awarded to only the top professionally managed vacation rentals based on consistent quality and service. This 5 bedroom, 5.5 bath historical estate is surrounded with charm and character. Max occupancy is 10 people at all times - both overnight and during the day. Property’s History: Colle’s land was granted from Thomas Jefferson in 1773 to an Italian viticulturist from Tuscany, Philip Mazzei.  Mazzei planted vines and built the original Colle in 1773.  Around 1930, Colle was disassembled and it’s thought that parts of the home’s exterior were put to use for the renovation of Charlottesville’s Michie Tavern, located a few miles away.   In 1939 the Woodward family purchased the property and  rebuilt Colle on the original foundation.  Today, the wine culture still flows strong through out the property.   Directly across the street sits Jefferson Vineyards. Take a stroll over to their two tasting rooms and enjoy the beautiful Mountain View and sprawling vineyard. First Floor: King Bed with En Suite Bath with Bathtub Queen Bed Queen Bed Full Bath with Walk-in Glass Shower Large Living Room with Two Sitting Areas Dining Room Kitchen with Breakfast Nook Half Bath Second Floor: Queen Bed with En Suite Bath Full Bath Queen Bed Full Bath Small Second Living Room with TV Amenities: SubZero Refrigerator Wolf Gas 6 Burner Stove and Oven Charcoal Grill Standard Drip Coffee Maker and Tea Kettle Wi-Fi Flat Screen Smart TV to use Netflix, HBOgo, Pandora, YouTube, Hulu, Amazon Video Central Air/Heat Gardens Outdoor Patio Outdoor Swimming Pool (not heated, weather dependent & subject to change: open May - September) Parking for 8-10 cars No Washer/Dryer All guests of Stay Charlottesville receive exclusive access to Common House during your stay. Common House is a local membership based social club that offers a unique space to work, dine, and engage. There is a co-work space available during weekdays, a full service restaurant offering breakfast, lunch, and dinner as well as a roof-top terrace with sweeping views of Charlottesville.",,,275,Super Strict 60 Days,NULL,0,Colle | Historic Estate with Pool,4.91,,"{check_in"": ""2025-01-01""","check_out: ""2025-01-06""","CLEANING_FEE: {""total"": 275","currency: ""USD""}","ACCOMMODATION: {""total"": 4310","currency: ""USD""}","AIRBNB_SERVICE_FEE: {""total"": 647","currency: ""USD""}","TOTAL_BEFORE_TAXES: {""total"": 5232","currency: ""USD""}}""",882a8c1567fffff,2,0,United States,Virginia,,22902,,1,https://a0.muscache.com/pictures/prohost-api/Hosting-15581613/original/a9da1a7f-fb96-4705-aa29-d54b29325118.jpeg,0,NULL,Stay Charlottesville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4163522,5997063,NULL,703086,TRUE,141,NULL,Stanardsville,38.26894,-78.52328,Farm stay,391,3,1,1,365,6,2020-03-26 20:02:40,2024-12-20 9:46:02,pricelabs-scraping-01 -- 28223,"[Mountain view""",Bathtub,Hair dryer,Cleaning products,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Indoor fireplace,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Pets allowed,Long term stays allowed,Self check-in,"Keypad]""","1900's farmhouse situated on 11 secluded wooded acres, backing up to Kilauwren Winery a short 10 min hike away! Rustic country feel with modern touches. Full Kitchen and dining area. Classic front porch with swing. Lots of yard to enjoy with mountain views. Screened in back porch to enjoy sunsets. Very secluded! Please note, if you are bringing your pet, further details on fees are below. The space We are super happy to welcome your pets to The Farmhouse. We charge an additional pet fee of $20 per night/per pet. This is payable upon booking through a welcome link you will receive. The Farmhouse was originally part of a 175 acre cattle farm in 1900. It now sits on 11.25 acres. The original 1900 structure consisted of the dining room, kitchen and the two bedrooms above them. There still exists the central chimney to heat the “2 over 2 rooms”. The windows in the kitchen and dining room and blue bedroom are original. There is a small creek on the property. Guest access Entire house and property Other things to note Many close wineries, from walking distance to 5 miles up the road. Pet friendly. Locally Owned Restaurants listed below: Jack Shop’s Kitchen: 10 miles. Located in the heart of Ruckersville Antique area, Jack Shop’s serves locally sourced food. You can eat and browse antique stores without ever re-parking your car. Best Local Food $$ Lafayette Inn: 8 miles. Our Stanardsville local, “fancy” restaurant, provides an excellent menu and dining experience. The building is civil war era and was once, among other things a hospital, boarding house and watch shop. Open Fri, Sat and Sun only. $$$ Bavarian Chef: 17 miles. Delicious German food and beer. Award winning family restaurant is a favorite among locals and has been open for over 40 years. Bring your appetite and expect to be served by professional wait staff. $$$ Fabio’s Pizza: 14 miles. An excellent strip mall local Italian restaurant. Totally more than just a pizza place, wonderful traditional Italian dinners made by Italian chefs! No kidding! Truly great food at bargain prices. $$ Sal’s Pizza: 8 miles: Tasty hand tossed pizza with all the regular topping options. Extensive hero and Italian fare as well. Open Mon – Sat $ Payton’s Market: (Best Fried Chicken in Greene County! ) This country store/gas station on Rt 33 business is the place to grab an excellent “to go” fried chicken picnic lunch before heading to a winery to sit on the lawn, enjoy a bottle of their wine and relax taking in the view. Open Daily $ Marybelle’s Market: (2 miles) Closest place to get beer or minimal groceries. This local General Store serves lunch and breakfast sandwiches and cold beer. It’s on the way to Stone Mountain, Moss and Glass house vineyards.",0.85,0.8,60,Moderate,NULL,40,"The Farmhouse""""",4.86,,"{check_in"": ""2025-01-02""","check_out: ""2025-01-07""","CLEANING_FEE: {""total"": 60","currency: ""USD""}","ACCOMMODATION: {""total"": 750","currency: ""USD""}","AIRBNB_SERVICE_FEE: {""total"": 114","currency: ""USD""}","TOTAL_BEFORE_TAXES: {""total"": 924","currency: ""USD""}}""",882a8cc645fffff,0,0,United States,Virginia,,22935,,0,https://a0.muscache.com/pictures/miso/Hosting-5997063/original/7c13bffb-058d-4951-88bf-2f968f226386.jpeg,0,NULL,Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4163600,27729257,NULL,147953264,FALSE,150,NULL,Stanardsville,38.27184,-78.5292,Entire loft,117,2,1,1,365,4,2020-03-26 20:02:41,2024-12-20 9:50:56,pricelabs-scraping-01 -- 28223,"[Hot water""",Essentials,Hangers,Bed linens,Extra pillows and blankets,AC - split type ductless system,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Coffee maker,Private entrance,Private patio or balcony,Backyard,Free parking on premises,Self check-in,"Keypad]""","Unwind in this secluded, charming, cozy loft nestled in the Blue Ridge Mountains, with beautiful views. This well-appointed 2-bedroom with 1 full bath gives you all the conveniences of home with its fully functional kitchen and flowing floor plan. You will love the fresh, clean, bright and airy comfort inside and the deck to relax in the rockers or dine alfresco outside. Located 8 miles from Skyline Drive and 30 minutes from Charlottesville. Book this gem before your dates are taken! The space Granite countertops, microwave, cook-top, refrigerator and goose neck sink. Dine alfresco on the balcony overlooking the property with a full-sized replica of the Chartres labyrinth. New construction in 2018. Only 8 miles from Skyline Drive Swift Run entrance.We have qualified for the highest cleanliness standard with Airbandb and comply with CDC disinfection and cleaning requirements. Guest access Explore Monticello, Montpelier, the University of Virginia and Shenandoah National Park. Hike the Appalachian Trail! Vineyards abound and Charlottesville's farm to table culture and lively music scene offer many options for dining and entertainment. Other things to note Please note that there is a residence up the hill on the property and you may have a car driving up the same drive as the Loft from time to time. There are stairs to enter the Loft.",,,,Moderate,NULL,0,The Loft at Kilaurwen,4.96,,"{check_in"": ""2025-01-08""","check_out: ""2025-01-13""","CLEANING_FEE: {""total"": 0","currency: ""USD""}","ACCOMMODATION: {""total"": 750","currency: ""USD""}","AIRBNB_SERVICE_FEE: {""total"": 106","currency: ""USD""}","TOTAL_BEFORE_TAXES: {""total"": 856","currency: ""USD""}}""",882a8cc669fffff,2,0,United States,Virginia,,22973,,1,https://a0.muscache.com/pictures/7d7a4de1-8c13-403f-9fe0-abba9ee1e885.jpg,0,NULL,Doriene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4163620,35511349,NULL,267160243,TRUE,194,NULL,Dyke,38.25277,-78.53593,Entire home,290,4,3,1,365,8,2020-03-26 20:02:42,2024-12-20 9:44:26,pricelabs-scraping-01 -- 28223,"[Lake view""",Mountain view,River view,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Free washer – In unit,Free dryer – In unit,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage: closet,32 inch HDTV with standard cable,Books and reading material,Crib - always at the listing,Pack ’n play/Travel crib - always at the listing,Children’s books and toys,Board games,Babysitter recommendations,Central air conditioning,Indoor fireplace: gas,Ceiling fan,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,KitchenAid gas stove,Oven,Coffee maker: Keurig coffee machine,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Waterfront,Lake access,Private entrance,Private patio or balcony,Private backyard – Not fully fenced,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Self check-in,"Lockbox]""","Iconic home and Farm in Dyke, Virginia, circa 1891. Situated on the Roach River with views of the Blue Ridge mountains and pastures. Relax on one of the double porches or under on of the shade trees. The stone fireplace warms the heart and soul on a cool evening. Minutes from the Shenandoah National Parkway, the Blue Ridge School and several beautiful wineries. Approx. 12 miles from CHO airport, 20 min from Blue ridge Parkway, 10 min. to Standardsville and 20 miles to Charlottesville. The space Newly remodeled beautiful place. Has fishing pond and many grassy areas to enjoy the fresh mountain air. Situated on a 50 acre parcel with plenty of privacy and wildlife. Guest access You will have access to the home and the nature around it.",0.95,0.9,199,Moderate,NULL,0,"Living Water Farm, Blue Ridge",4.96,,"{check_in"": ""2025-01-14""","check_out: ""2025-01-19""","CLEANING_FEE: {""total"": 199","currency: ""USD""}","ACCOMMODATION: {""total"": 1019","currency: ""USD""}","AIRBNB_SERVICE_FEE: {""total"": 172","currency: ""USD""}","TOTAL_BEFORE_TAXES: {""total"": 1390","currency: ""USD""}}""",882a8cc663fffff,2,0,United States,Virginia,,22973,,1,https://a0.muscache.com/pictures/b76f9dad-33fa-4a6a-9efa-d72f87720966.jpg,0,NULL,Mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4163625,35791399,NULL,152891867,FALSE,69,NULL,Charlottesville,38.03787,-78.50096,Entire rental unit,158,0,1,1,365,2,2020-03-26 20:02:42,2024-12-26 15:19:50,pricelabs-scraping-01 -- 62624,"[Hair dryer""",Shampoo,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Free parking on premises,Free street parking,Single level home,Self check-in,"Keypad]""","This wonderful studio is perfect for any person traveling to UVa who wants to be right in the middle of everything! It's less than 5 mins to grounds and 15 mins to the JPJ Arena. S/N: The studio is super close to campus, and next door to 2 fraternity houses. During the week noise isn't an issue. But students are back and do party over the weekend. You have a reserved parking spot out front, high speed internet, a TV with Roku and a full kitchen to keep the your food budget to a minimum. The space You have access to the entire apartment!",0.9,0.9,0,Strict,NULL,0,Studio Apt - 5 Min Walk from UVa w/ Parking Space,4.75,,"{error"": ""Missing price line items: Listing has no availability""}""",882a8c119dfffff,0,1,United States,Virginia,,22903,,0,https://a0.muscache.com/pictures/fb866894-0c6c-4414-a1fe-281629df581a.jpg,0,NULL,Deandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4163670,41029728,NULL,320343955,TRUE,82,NULL,Waynesboro,38.06347,-78.90007,Entire guesthouse,370,1,1,1,365,2,2020-03-26 20:02:43,2024-12-18 4:02:18,pricelabs-scraping -- 52711,"[Hair dryer""",Shampoo,Conditioner,Hot water,Shower gel,Essentials,Hangers,Bed linens,Iron,TV with Roku,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Coffee maker,Toaster,Baking sheet,Barbecue utensils,Private entrance,Laundromat nearby,Patio or balcony,Outdoor furniture,Free street parking,Self check-in,"Lockbox]""","Our guesthouse is located in the historic Tree Streets Neighborhood of Waynesboro, VA, an official Appalachian Trail town, located at the southern end of the Shenandoah National Park. We've aptly named the guesthouse The Stable"" because it was originally built and functioned as a stable. It has since been converted into a cozy cottage for guests. The space ""The Stable"" is located in our backyard",but has its own private entrance and porches. Boxwoods that line the neighborhood also provide privacy for guests. This is a 2-story guesthouse with a small kitchen that has an oven,microwave,coffee maker,toaster oven,and fridge. Basic dishware and cooking utensils are provided,"along with coffee/tea and basic seasonings. Central heat is available and window air conditioners are located in the bedroom and living room. It is important to know that there are a couple of steps to enter the property as well as stairs that lead to the bedroom. The kitchen and bathroom are both 1 step down from the living room. Guest access Key Box Entry/Exit if we are not available to meet you at check-in/out.""",0.8,,15,Moderate,NULL,0,The Stable,4.91,,"{check_in"": ""2025-01-27""","check_out: ""2025-02-01""","CLEANING_FEE: {""total"": 15","currency: ""USD""}","ACCOMMODATION: {""total"": 495","currency: ""USD""}","AIRBNB_SERVICE_FEE: {""total"": 72","currency: ""USD""}","TOTAL_BEFORE_TAXES: {""total"": 582","currency: ""USD""}}""",882a8c5519fffff,2,0,United States,Virginia,,22980,,1,https://a0.muscache.com/pictures/f5df6319-a431-4681-a03e-9141f3672414.jpg,0,NULL,Zachary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4163675,41129891,NULL,48939887,TRUE,92,NULL,Afton,38.00674,-78.82537,Entire chalet,461,2,1,1,365,4,2020-03-26 20:02:43,2024-12-18 4:18:42,pricelabs-scraping -- 52711,"[Hair dryer""",Shampoo,Hot water,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Private entrance,Backyard,Free parking on premises,Pets allowed,Self check-in,"Keypad]""","Barn style chalet in the center of all the wineries, breweries, distilleries, cideries, Shen. National Park, hiking, App.Trail, Blue Ridge Pkwy, Wintergreen Resort. Pets welcome for an added fee ($40) per pet. Located on 151 -alcohol alley"". Literally seconds to Blue Mountain Brewery or Flying Fox Vineyard & a minute or two drive to Veritas",Cardinal Point,Afton Mt,Silverback,Valley Rd & so many more! Fiber internet,disinfected,whole foods delivers groceries here. Great spot! The space Two bedrooms---one with queen bed,one with two twin beds. One bathroom with tub/shower. The living room has a pull-out bed that can sleep two. Overall the space is best suited for 4 at the most. We occasionally accept up to six for an additional charge and if the request is made ahead of time. We do accept pets for an additional pet fee of $40.00 per pet. Other things to note We can generally allow an early check-in or late check-out so just let us know ahead of time your needs and we will try to make that work. There are other houses and cottages with tenants on this property so we would prefer guests not to wander the grounds. We do not allow any fires on this property. The houses are too close together for it to be safe. Please do not attempt to light any kind of fire while you are staying here. We allow calm and good mannered pets,but we do add an additional charge of $40.00 to our cleaning fee per pet,"so please let us know ahead of time if you are bringing a pet or pets. And if you do bring a pet it is your responsibility to clean up all poo that they leave in the yard. Pets are not allowed on the furniture or on the bed/sheets/comforter. Pets must be on a leash at all times outside. This space is really best for 4 people. Thank you.""",,,80,Strict,NULL,30,Chalet house next to wineries/breweries!,4.83,,"{check_in"": ""2024-12-18""","check_out: ""2024-12-23""","CLEANING_FEE: {""total"": 80","currency: ""USD""}","ACCOMMODATION: {""total"": 647","currency: ""USD""}","AIRBNB_SERVICE_FEE: {""total"": 103","currency: ""USD""}","TOTAL_BEFORE_TAXES: {""total"": 830","currency: ""USD""}}""",882a8c548bfffff,1,0,United States,Virginia,,22920,,0,https://a0.muscache.com/pictures/8e960972-be66-4bb5-92ca-12915fd6e8f5.jpg,0,NULL,Sarah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
