listing_id,m_revenue,status_amenities,score_amenities,score_star_rating,score_guest_favorite,score_review_count,score_listing_title,score_listing_description,score_review_summary,score_image_score,property_manager_count,property_manager_cat,lat,lng,bedrooms,l_revenue,user_listings,features_to_review,listing_age,extracted_review_count
24076293,16997.7,SUCCESS,A,A,B,A,B,B,A,B,1,Individual,38.04735,-78.50238,5,0,FALSE,[],1628,14
48088408,16997.7,SUCCESS,A,None,B,C,B,B,A,B,4,Small,38.04851,-78.495,5,32930,FALSE,['score_review_count'],1300,2
53544297,16997.7,SUCCESS,A,A,A,A,B,B,A,B,3,Small,38.04159,-78.49038,5,7936,FALSE,[],733,45
45073863,16997.7,SUCCESS,A,A,A,A,B,B,A,B,2,Small,38.02811,-78.51718,5,17413,FALSE,[],1420,122
887637685970978714,16997.7,SUCCESS,A,A,A,A,B,B,A,B,3,Small,38.01961,-78.5156,5,12699,FALSE,[],479,74
21204898,16997.7,SUCCESS,A,None,B,C,B,C,A,A,2,Small,38.05191,-78.48973,5,94500,FALSE,"['score_review_count', 'score_listing_description']",1628,1
28856729,16997.7,SUCCESS,A,A,B,A,B,A,A,B,48,Moderate,38.04627,-78.49883,5,17979,FALSE,[],1628,152
49386430,16997.7,SUCCESS,A,A,B,A,B,B,A,B,3,Small,38.05675,-78.49038,5,10313,FALSE,[],1211,115
46748654,16997.7,SUCCESS,A,A,B,A,B,A,A,B,1,Individual,38.02098,-78.50194,5,24800,FALSE,[],1253,15
728064804483511459,16997.7,SUCCESS,A,A,A,A,B,B,A,B,8,Small,38.01683,-78.50613,5,16825,FALSE,[],666,52
17611082,16997.7,SUCCESS,A,A,B,A,B,B,B,B,9,Small,38.07948,-78.49788,5,31445,FALSE,[],1628,16
694596855651802007,16997.7,SUCCESS,A,A,A,A,B,B,A,B,9,Small,38.01771,-78.51783,5,6225,FALSE,[],666,11
41196988,16997.7,SUCCESS,A,A,B,C,B,B,A,B,3,Small,38.04027,-78.51432,5,0,FALSE,['score_review_count'],1629,8
668697086602272537,16997.7,SUCCESS,A,None,B,C,B,B,A,B,1,Individual,38.0445625,-78.5013649,5,134400,FALSE,['score_review_count'],429,1
49151790,16997.7,SUCCESS,A,A,A,C,B,B,A+,B,1,Individual,38.04668,-78.49982,5,122850,FALSE,['score_review_count'],1243,7
